old state road 1,old state road 2,old state road 3,old state road 3,TD 1,TD 2,TD 3,TD 4,TD intersection,dtcc 1,dtcc 2,dtcc 3,dtcc 4,target state 1,target state 2,target state 3,target state 4
1,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222,12,19,297,-70,1,0,0,0
1,0,0,0,0,0.25,0.125,0.25,0.375,4,19,189,-70,1,0,0,0
1,0,0,0,0,0.4,0.2,0.4,0,4,19,37,-70,1,0,0,0
0,0,0,0,0,0.5,0.166666667,0.333333333,0,4,19,17,-70,0,1,0,0
0,1,0,0,0,0.333333333,0.166666667,0.333333333,0.166666667,4,23,17,-70,0,1,0,0
0,1,0,0,0.111111111,0.111111111,0.222222222,0.222222222,0.333333333,248,39,17,-70,0,1,0,0
0,1,0,0,0.111111111,0,0.222222222,0.333333333,0.333333333,140,3,17,-70,0,1,0,0
0,1,0,0,0.111111111,0,0.222222222,0.555555556,0.111111111,52,3,17,-70,0,1,0,0
0,1,0,0,0.111111111,0,0.222222222,0.555555556,0.111111111,20,3,17,-70,0,1,0,0
0,0,0,0,0.1,0,0.2,0.5,0.2,20,3,17,-70,0,0,0,1
0,0,0,1,0.125,0.125,0.25,0.375,0.125,20,239,17,-94,0,0,0,1
0,0,0,1,0.333333333,0.166666667,0.333333333,0,0.166666667,20,123,17,-54,0,0,0,1
0,0,0,1,0.333333333,0.166666667,0.333333333,0,0.166666667,20,31,17,-54,0,0,0,1
0,0,0,1,0.333333333,0.166666667,0.333333333,0,0.166666667,20,31,17,-54,0,0,0,1
0,0,0,1,0.4,0.2,0.4,0,0,20,19,17,-54,0,0,0,1
0,0,0,1,0.5,0.166666667,0.333333333,0,0,20,19,17,-54,0,0,0,0
0,0,0,1,0.5,0.166666667,0.333333333,0,0,20,19,17,-54,0,0,1,0
0,0,1,0,0.5,0.166666667,0.166666667,0,0.166666667,20,19,265,-54,0,0,1,0
0,0,1,0,0.5,0.166666667,0.166666667,0,0.166666667,20,19,265,-54,0,0,0,0
